movie_name,movie_rating,date
The Shawshank Redemption,9.3,2023-06-04 09:26:34.530731
The Godfather,9.2,2023-06-04 09:26:34.530731
The Dark Knight,9.0,2023-06-04 09:26:34.530731
The Godfather Part II,9.0,2023-06-04 09:26:34.530731
12 Angry Men,9.0,2023-06-04 09:26:34.530731
Spider-Man: Across the Spider-Verse,9.0,2023-06-04 09:26:34.530731
Schindler's List,9.0,2023-06-04 09:26:34.530731
The Lord of the Rings: The Return of the King,9.0,2023-06-04 09:26:34.530731
Pulp Fiction,8.9,2023-06-04 09:26:34.530731
The Lord of the Rings: The Fellowship of the Ring,8.8,2023-06-04 09:26:34.530731
Forrest Gump,8.8,2023-06-04 09:26:34.530731
Fight Club,8.8,2023-06-04 09:26:34.530731
The Lord of the Rings: The Two Towers,8.8,2023-06-04 09:26:34.530731
Inception,8.8,2023-06-04 09:26:34.530731
Star Wars: Episode V - The Empire Strikes Back,8.7,2023-06-04 09:26:34.530731
The Matrix,8.7,2023-06-04 09:26:34.530731
GoodFellas,8.7,2023-06-04 09:26:34.530731
One Flew Over the Cuckoo's Nest,8.7,2023-06-04 09:26:34.530731
It's a Wonderful Life,8.6,2023-06-04 09:26:34.530731
Se7en,8.6,2023-06-04 09:26:34.530731
Interstellar,8.6,2023-06-04 09:26:34.530731
The Silence of the Lambs,8.6,2023-06-04 09:26:34.530731
Saving Private Ryan,8.6,2023-06-04 09:26:34.530731
The Green Mile,8.6,2023-06-04 09:26:34.530731
Star Wars,8.6,2023-06-04 09:26:34.530731
Terminator 2: Judgment Day,8.6,2023-06-04 09:26:34.530731
Back to the Future,8.5,2023-06-04 09:26:34.530731
The Pianist,8.5,2023-06-04 09:26:34.530731
Psycho,8.5,2023-06-04 09:26:34.530731
The Lion King,8.5,2023-06-04 09:26:34.530731
Léon,8.5,2023-06-04 09:26:34.530731
Gladiator,8.5,2023-06-04 09:26:34.530731
American History X,8.5,2023-06-04 09:26:34.530731
The Departed,8.5,2023-06-04 09:26:34.530731
The Prestige,8.5,2023-06-04 09:26:34.530731
Whiplash,8.5,2023-06-04 09:26:34.530731
The Usual Suspects,8.5,2023-06-04 09:26:34.530731
Modern Times,8.5,2023-06-04 09:26:34.530731
Casablanca,8.5,2023-06-04 09:26:34.530731
Rear Window,8.5,2023-06-04 09:26:34.530731
Alien,8.4,2023-06-04 09:26:34.530731
Apocalypse Now,8.4,2023-06-04 09:26:34.530731
Memento,8.4,2023-06-04 09:26:34.530731
Django Unchained,8.4,2023-06-04 09:26:34.530731
Raiders of the Lost Ark,8.4,2023-06-04 09:26:34.530731
WALL·E,8.4,2023-06-04 09:26:34.530731
Sunset Blvd.,8.4,2023-06-04 09:26:34.530731
Witness for the Prosecution,8.4,2023-06-04 09:26:34.530731
Paths of Glory,8.4,2023-06-04 09:26:34.530731
The Great Dictator,8.4,2023-06-04 09:26:34.530731
Avengers: Infinity War,8.4,2023-06-04 09:26:34.530731
The Shining,8.4,2023-06-04 09:26:34.530731
Spider-Man: Into the Spider-Verse,8.4,2023-06-04 09:26:34.530731
Aliens,8.4,2023-06-04 09:26:34.530731
The Dark Knight Rises,8.4,2023-06-04 09:26:34.530731
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,2023-06-04 09:26:34.530731
Coco,8.3,2023-06-04 09:26:34.530731
Amadeus,8.3,2023-06-04 09:26:34.530731
Joker,8.3,2023-06-04 09:26:34.530731
American Beauty,8.3,2023-06-04 09:26:34.530731
Avengers: Endgame,8.3,2023-06-04 09:26:34.530731
Inglourious Basterds,8.3,2023-06-04 09:26:34.530731
Braveheart,8.3,2023-06-04 09:26:34.530731
Toy Story,8.3,2023-06-04 09:26:34.530731
Once Upon a Time in America,8.3,2023-06-04 09:26:34.530731
Good Will Hunting,8.3,2023-06-04 09:26:34.530731
Singin' in the Rain,8.3,2023-06-04 09:26:34.530731
Hamilton,8.3,2023-06-04 09:26:34.530731
Requiem for a Dream,8.3,2023-06-04 09:26:34.530731
Toy Story 3,8.3,2023-06-04 09:26:34.530731
Star Wars: Episode VI - Return of the Jedi,8.3,2023-06-04 09:26:34.530731
2001: A Space Odyssey,8.3,2023-06-04 09:26:34.530731
Eternal Sunshine of the Spotless Mind,8.3,2023-06-04 09:26:34.530731
Double Indemnity,8.3,2023-06-04 09:26:34.530731
The Apartment,8.3,2023-06-04 09:26:34.530731
Lawrence of Arabia,8.3,2023-06-04 09:26:34.530731
Reservoir Dogs,8.3,2023-06-04 09:26:34.530731
Citizen Kane,8.3,2023-06-04 09:26:34.530731
North by Northwest,8.3,2023-06-04 09:26:34.530731
Vertigo,8.3,2023-06-04 09:26:34.530731
Scarface,8.3,2023-06-04 09:26:34.530731
The Sting,8.3,2023-06-04 09:26:34.530731
To Kill a Mockingbird,8.3,2023-06-04 09:26:34.530731
A Clockwork Orange,8.3,2023-06-04 09:26:34.530731
Full Metal Jacket,8.3,2023-06-04 09:26:34.530731
Heat,8.2,2023-06-04 09:26:34.530731
Judgment at Nuremberg,8.2,2023-06-04 09:26:34.530731
Up,8.2,2023-06-04 09:26:34.530731
Top Gun: Maverick,8.2,2023-06-04 09:26:34.530731
The Kid,8.2,2023-06-04 09:26:34.530731
Snatch,8.2,2023-06-04 09:26:34.530731
L.A. Confidential,8.2,2023-06-04 09:26:34.530731
Indiana Jones and the Last Crusade,8.2,2023-06-04 09:26:34.530731
Die Hard,8.2,2023-06-04 09:26:34.530731
1917,8.2,2023-06-04 09:26:34.530731
Taxi Driver,8.2,2023-06-04 09:26:34.530731
All About Eve,8.2,2023-06-04 09:26:34.530731
The Father,8.2,2023-06-04 09:26:34.530731
Some Like It Hot,8.2,2023-06-04 09:26:34.530731
Batman Begins,8.2,2023-06-04 09:26:34.530731
Green Book,8.2,2023-06-04 09:26:34.530731
The Wolf of Wall Street,8.2,2023-06-04 09:26:34.530731
The Treasure of the Sierra Madre,8.2,2023-06-04 09:26:34.530731
Guardians of the Galaxy Vol. 3,8.2,2023-06-04 09:26:34.530731
Casino,8.2,2023-06-04 09:26:34.530731
There Will Be Blood,8.2,2023-06-04 09:26:34.530731
Shutter Island,8.2,2023-06-04 09:26:34.530731
The Truman Show,8.2,2023-06-04 09:26:34.530731
Unforgiven,8.2,2023-06-04 09:26:34.530731
A Beautiful Mind,8.2,2023-06-04 09:26:34.530731
The Great Escape,8.2,2023-06-04 09:26:34.530731
The Sixth Sense,8.2,2023-06-04 09:26:34.530731
Spider-Man: No Way Home,8.2,2023-06-04 09:26:34.530731
Jurassic Park,8.2,2023-06-04 09:26:34.530731
Monty Python and the Holy Grail,8.2,2023-06-04 09:26:34.530731
The Thing,8.2,2023-06-04 09:26:34.530731
No Country for Old Men,8.2,2023-06-04 09:26:34.530731
The Elephant Man,8.2,2023-06-04 09:26:34.530731
Gone with the Wind,8.2,2023-06-04 09:26:34.530731
Kill Bill: Vol. 1,8.2,2023-06-04 09:26:34.530731
Dial M for Murder,8.2,2023-06-04 09:26:34.530731
Chinatown,8.1,2023-06-04 09:26:34.530731
Finding Nemo,8.1,2023-06-04 09:26:34.530731
V for Vendetta,8.1,2023-06-04 09:26:34.530731
Raging Bull,8.1,2023-06-04 09:26:34.530731
The Bridge on the River Kwai,8.1,2023-06-04 09:26:34.530731
"Lock, Stock and Two Smoking Barrels",8.1,2023-06-04 09:26:34.530731
Inside Out,8.1,2023-06-04 09:26:34.530731
To Be or Not to Be,8.1,2023-06-04 09:26:34.530731
Warrior,8.1,2023-06-04 09:26:34.530731
Klaus,8.1,2023-06-04 09:26:34.530731
Trainspotting,8.1,2023-06-04 09:26:34.530731
Prisoners,8.1,2023-06-04 09:26:34.530731
"Three Billboards Outside Ebbing, Missouri",8.1,2023-06-04 09:26:34.530731
Mr. Smith Goes to Washington,8.1,2023-06-04 09:26:34.530731
Fargo,8.1,2023-06-04 09:26:34.530731
Gran Torino,8.1,2023-06-04 09:26:34.530731
On the Waterfront,8.1,2023-06-04 09:26:34.530731
Barry Lyndon,8.1,2023-06-04 09:26:34.530731
Ben-Hur,8.1,2023-06-04 09:26:34.530731
The Best Years of Our Lives,8.1,2023-06-04 09:26:34.530731
Catch Me If You Can,8.1,2023-06-04 09:26:34.530731
Harry Potter and the Deathly Hallows: Part 2,8.1,2023-06-04 09:26:34.530731
In the Name of the Father,8.1,2023-06-04 09:26:34.530731
Before Sunrise,8.1,2023-06-04 09:26:34.530731
The Third Man,8.1,2023-06-04 09:26:34.530731
Million Dollar Baby,8.1,2023-06-04 09:26:34.530731
Blade Runner,8.1,2023-06-04 09:26:34.530731
Mary and Max.,8.1,2023-06-04 09:26:34.530731
12 Years a Slave,8.1,2023-06-04 09:26:34.530731
Hacksaw Ridge,8.1,2023-06-04 09:26:34.530731
The Grand Budapest Hotel,8.1,2023-06-04 09:26:34.530731
The Deer Hunter,8.1,2023-06-04 09:26:34.530731
Gone Girl,8.1,2023-06-04 09:26:34.530731
Dead Poets Society,8.1,2023-06-04 09:26:34.530731
How to Train Your Dragon,8.1,2023-06-04 09:26:34.530731
Mad Max: Fury Road,8.1,2023-06-04 09:26:34.530731
The Grapes of Wrath,8.1,2023-06-04 09:26:34.530731
Room,8.1,2023-06-04 09:26:34.530731
"Monsters, Inc.",8.1,2023-06-04 09:26:34.530731
Ford v Ferrari,8.1,2023-06-04 09:26:34.530731
Jaws,8.1,2023-06-04 09:26:34.530731
The Big Lebowski,8.1,2023-06-04 09:26:34.530731
Hotel Rwanda,8.1,2023-06-04 09:26:34.530731
All Quiet on the Western Front,8.1,2023-06-04 09:26:34.530731
The Red Shoes,8.1,2023-06-04 09:26:34.530731
Network,8.1,2023-06-04 09:26:34.530731
Rocky,8.1,2023-06-04 09:26:34.530731
Logan,8.1,2023-06-04 09:26:34.530731
Platoon,8.1,2023-06-04 09:26:34.530731
Hachi: A Dog's Tale,8.1,2023-06-04 09:26:34.530731
Ratatouille,8.1,2023-06-04 09:26:34.530731
It Happened One Night,8.1,2023-06-04 09:26:34.530731
Before Sunset,8.1,2023-06-04 09:26:34.530731
Paper Moon,8.1,2023-06-04 09:26:34.530731
